1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
864,0.0,2.0,2.0,468,4,396,,0,1,,864,3,5604,67.0,0.0,0,6,5,864,,1925,1950,98000
1212,0.0,3.0,3.0,36,7,1176,0.0,460,3,2009.0,1212,4,10420,83.0,0.0,22,5,6,1212,,2009,2009,186000
932,920.0,3.0,2.0,822,7,78,,644,3,2009.0,1852,4,8640,72.0,0.0,108,5,7,900,,2009,2009,252678
990,0.0,3.0,2.0,716,6,274,,576,2,1996.0,990,3,13568,43.0,0.0,0,5,5,990,,1995,1995,156000
689,703.0,3.0,2.0,378,7,311,,299,4,1977.0,1392,3,10900,,153.0,36,7,6,689,,1977,1977,161750
1236,0.0,2.0,2.0,360,5,710,,447,2,1957.0,1236,4,10011,72.0,64.0,0,6,5,1070,,1957,1996,134450
1436,0.0,3.0,3.0,946,7,490,0.0,484,1,2004.0,1436,4,8450,65.0,266.0,98,5,7,1436,139.0,2004,2004,210000
810,518.0,3.0,2.0,0,2,686,,210,2,1940.0,1328,3,9906,57.0,0.0,172,4,4,686,,1925,1950,107000
1137,817.0,3.0,2.0,341,5,457,,431,1,1939.0,1954,4,15660,,312.0,119,9,7,798,0.0,1939,2006,311500
1248,0.0,2.0,4.0,16,7,1232,,438,4,2005.0,1248,4,3010,43.0,16.0,0,5,7,1248,,2005,2006,167240
1498,0.0,2.0,3.0,0,2,1498,,675,1,2006.0,1498,4,8990,73.0,0.0,33,5,7,1498,351.0,2006,2006,204900
1010,1257.0,4.0,2.0,0,2,1010,,390,3,2002.0,2267,4,8068,,0.0,46,5,6,1010,,2002,2002,200000
811,741.0,3.0,2.0,550,6,163,,434,3,1975.0,1552,3,11475,85.0,0.0,208,6,6,713,,1975,1975,179900
864,0.0,2.0,2.0,524,6,160,,576,2,1989.0,864,3,10500,70.0,0.0,0,6,4,864,,1971,1971,97000
2392,0.0,3.0,5.0,56,7,2336,,968,4,2003.0,2392,5,13472,103.0,922.0,105,5,10,2392,,2003,2003,386250
630,672.0,3.0,2.0,0,2,630,,280,2,1991.0,1302,3,1680,21.0,142.0,0,5,5,630,,1971,1971,112000
1214,1306.0,4.0,2.0,565,7,638,,721,1,1995.0,2520,4,9950,82.0,290.0,114,5,7,1203,,1995,1995,290000
483,504.0,,2.0,321,4,162,,280,2,1987.0,987,3,1869,21.0,127.0,0,6,6,483,,1970,1970,106000
912,0.0,3.0,2.0,842,6,70,0.0,336,2,1974.0,912,3,8521,70.0,0.0,0,5,5,912,0.0,1967,1967,125000
1555,0.0,2.0,4.0,16,7,1357,0.0,430,4,2005.0,1555,4,3182,43.0,16.0,20,5,7,1373,,2005,2006,192500
1194,0.0,3.0,2.0,0,2,1194,,312,3,1959.0,1194,3,8760,73.0,220.0,0,6,6,1194,,1959,1959,148000
1490,1304.0,4.0,2.0,689,1,773,,810,4,1995.0,2794,5,15138,174.0,506.0,146,5,8,1462,,1995,1996,403000
483,504.0,2.0,2.0,0,2,483,,288,2,1972.0,987,3,1680,21.0,297.0,0,5,6,483,,1972,1972,94500
894,0.0,3.0,4.0,182,3,0,,308,2,1976.0,894,3,10650,75.0,0.0,0,6,5,894,,1976,1976,128200
860,1100.0,4.0,2.0,625,7,235,,440,4,2002.0,1960,4,7851,,,48,5,6,860,288.0,2002,2002,216500
483,,2.0,2.0,358,6,125,,264,2,1971.0,987,3,1680,21.0,604.0,0,3,6,483,,1971,1971,89500
1414,0.0,3.0,4.0,24,7,1390,,494,3,2004.0,1414,4,8773,65.0,98.0,105,5,7,1414,,2004,2004,185500
1014,730.0,3.0,2.0,402,5,594,,457,3,1993.0,1744,4,9453,,0.0,70,7,7,996,,1993,2003,194500
1694,0.0,3.0,2.0,0,2,1694,,818,4,2007.0,1694,4,12030,93.0,254.0,228,5,8,1694,,2007,2007,318000
798,,3.0,2.0,94,3,641,0.0,220,2,1949.0,1487,3,8741,52.0,0.0,140,4,6,735,,1945,1950,113000
1566,0.0,3.0,4.0,1078,7,488,0.0,750,3,2008.0,1566,4,9000,75.0,36.0,168,5,8,1566,,2008,2008,262500
866,,2.0,2.0,329,6,357,,0,1,,866,4,3880,40.0,0.0,42,9,5,686,,1945,1997,110500
889,551.0,3.0,2.0,0,2,540,,352,2,1940.0,1440,3,5000,63.0,0.0,0,4,5,540,,1900,1950,79000
626,591.0,3.0,2.0,0,1,626,,288,3,1980.0,1217,3,10762,75.0,0.0,28,6,6,626,,1980,1980,120000
1222,888.0,3.0,2.0,695,7,253,,463,3,1994.0,2110,4,8880,,0.0,130,5,7,948,,1994,2002,205000
1872,,3.0,4.0,929,7,916,,604,1,1988.0,1872,3,10400,80.0,102.0,39,5,7,1845,197.0,1988,1988,241500
908,1020.0,4.0,2.0,0,2,1020,,440,2,1910.0,1928,2,9142,69.0,0.0,60,8,6,1020,,1910,1950,137000
1375,0.0,2.0,2.0,0,2,1367,,451,2,1954.0,1375,3,11310,75.0,0.0,30,5,6,1367,,1954,1954,140000
840,828.0,3.0,2.0,0,1,840,,500,3,2003.0,1668,4,11317,72.0,101.0,68,5,7,840,,2003,2003,180000
1444,700.0,4.0,5.0,697,4,747,,389,4,1958.0,2144,4,159000,,472.0,98,7,6,1444,,1958,2006,277000
1306,0.0,3.0,2.0,0,2,728,,0,1,,1306,2,5350,55.0,0.0,0,2,3,728,,1940,1966,76500
1625,0.0,2.0,5.0,1573,1,0,,538,1,2006.0,1625,4,4750,44.0,481.0,0,5,8,1573,,2006,2007,235000
798,842.0,3.0,2.0,0,2,798,,520,3,2004.0,1640,4,8366,65.0,0.0,45,5,6,798,,2004,2004,173000
1302,0.0,3.0,5.0,270,3,452,,309,3,1964.0,1302,4,9350,85.0,108.0,0,7,6,1302,,1964,1991,158000
1314,0.0,3.0,2.0,922,4,392,,294,3,1957.0,1314,3,8400,70.0,0.0,0,6,5,1314,,1957,1957,145000
1005,1286.0,4.0,2.0,0,2,975,,429,4,1999.0,2291,4,8738,66.0,302.0,0,5,7,975,,1999,1999,230000
864,864.0,3.0,2.0,503,4,361,,673,3,2003.0,1728,4,8791,64.0,0.0,56,5,6,864,,2003,2003,207500
1604,0.0,3.0,2.0,1334,7,270,,660,3,2006.0,1604,4,8814,68.0,180.0,110,5,7,1604,,2006,2006,220000
963,829.0,3.0,2.0,361,7,602,,564,3,2001.0,1792,4,12435,80.0,172.0,96,5,7,963,,2001,2001,231500
882,0.0,2.0,1.0,0,1,0,,308,2,1956.0,882,3,12702,70.0,0.0,45,5,5,0,,1956,1956,97000
1382,0.0,3.0,5.0,672,4,0,,884,2,1991.0,1382,3,19296,120.0,399.0,0,5,6,1362,,1962,1962,176000
1482,1092.0,3.0,2.0,0,2,1482,,868,4,2007.0,2574,5,9588,69.0,270.0,148,5,8,1482,,2007,2007,276000
1212,0.0,3.0,4.0,506,6,0,,492,2,1978.0,1212,3,8471,88.0,46.0,12,7,6,506,292.0,1977,1995,151000
926,0.0,3.0,2.0,234,3,0,,484,2,1974.0,1316,3,5500,50.0,0.0,0,7,5,926,,1929,2001,130000
764,0.0,2.0,2.0,0,2,680,,504,2,1965.0,764,3,5232,30.0,0.0,0,5,5,680,,1925,2004,73000
1422,0.0,3.0,2.0,588,1,606,,576,4,1981.0,1422,4,12090,78.0,210.0,0,6,6,1422,,1981,1981,175500
802,709.0,3.0,4.0,714,7,88,,413,4,1997.0,1511,3,11207,70.0,0.0,75,5,6,802,,1997,1997,185000
1052,720.0,4.0,2.0,378,1,342,,240,1,1939.0,2192,4,8400,60.0,0.0,24,8,5,720,,1939,1997,179500
778,0.0,2.0,2.0,403,6,212,,924,1,1966.0,778,3,6900,71.0,0.0,25,6,5,740,0.0,1940,1955,120500
1113,0.0,3.0,2.0,751,5,392,,504,3,1987.0,1113,3,7917,,174.0,30,7,6,1143,,1976,1976,148000
1095,844.0,3.0,3.0,0,2,1095,,1053,3,2006.0,1939,4,10728,84.0,0.0,51,5,8,1095,,2006,2006,266000
1363,0.0,2.0,5.0,226,3,96,0.0,439,2,1954.0,1363,3,39104,73.0,0.0,0,7,7,1385,,1954,2005,241500
1164,1106.0,4.0,2.0,524,7,628,,671,4,1999.0,2270,4,11764,92.0,348.0,57,7,8,1152,,1999,2007,290000
1632,0.0,3.0,2.0,620,4,0,,338,3,1958.0,1632,3,9600,80.0,183.0,0,6,6,1240,,1958,1988,139000
816,0.0,,5.0,546,6,270,,264,2,1982.0,816,3,8314,76.0,0.0,0,7,5,816,,1982,1982,124500
952,596.0,,2.0,0,2,952,,672,1,1978.0,1548,5,7264,55.0,0.0,0,7,7,952,,1925,2007,205000
1560,0.0,3.0,2.0,0,2,1560,,573,4,2003.0,1560,4,9196,129.0,0.0,150,5,7,1560,,2003,2003,201000
864,0.0,2.0,2.0,120,3,744,,400,2,1951.0,864,3,19138,140.0,0.0,0,5,4,864,,1951,1951,141000
2121,0.0,3.0,5.0,0,2,2121,,732,4,2007.0,2121,5,14450,107.0,315.0,98,5,9,2121,,2006,2007,415298
1156,866.0,4.0,2.0,392,5,768,0.0,505,4,1977.0,2022,3,10005,83.0,299.0,117,5,7,1160,288.0,1977,1977,192000
1175,807.0,3.0,4.0,421,7,386,,575,1,1989.0,1982,4,11287,82.0,340.0,84,6,7,807,,1989,1989,228500
1262,0.0,,2.0,905,7,357,,572,1,2006.0,1262,4,7200,60.0,68.0,120,5,6,1262,0.0,2006,2006,185000
1314,0.0,2.0,2.0,904,7,410,,626,3,2008.0,1314,4,5063,34.0,166.0,62,5,7,1314,,2007,2008,207500
1468,0.0,3.0,2.0,0,2,1468,,898,4,2008.0,1468,4,9612,74.0,72.0,150,5,8,1468,,2008,2009,244600
1575,0.0,,2.0,430,7,1145,,529,3,1992.0,1575,4,8012,50.0,0.0,0,5,6,1575,0.0,1992,1992,179200
625,625.0,2.0,2.0,0,2,625,0.0,528,3,2006.0,1250,4,4251,35.0,0.0,54,5,7,625,,2006,2007,164700
1085,649.0,3.0,2.0,600,4,312,0.0,440,1,1962.0,1734,4,9786,77.0,0.0,0,7,6,912,,1962,1981,159000
858,,3.0,2.0,614,5,244,,0,1,,858,3,8125,,0.0,0,4,4,858,,1971,1971,88000
900,0.0,3.0,2.0,450,5,432,,280,2,1970.0,900,3,9819,,31.0,0,5,5,882,,1967,1967,122000
698,698.0,3.0,2.0,0,2,698,,384,2,2003.0,1396,3,8730,60.0,0.0,0,7,6,698,,1915,2003,153575
1079,840.0,3.0,4.0,0,2,1079,,685,3,2006.0,1919,4,15611,120.0,0.0,51,5,8,1079,,2006,2006,233230
936,780.0,6.0,2.0,210,1,570,,0,1,,1716,2,5687,55.0,0.0,184,6,5,780,,1912,2000,135900
1148,568.0,3.0,2.0,292,3,476,,281,2,1949.0,1716,3,11409,60.0,0.0,0,4,5,768,,1949,2008,131000
1468,795.0,3.0,2.0,795,6,0,,539,4,1977.0,2263,4,16659,,34.0,250,7,7,795,,1977,1994,235000
1644,0.0,3.0,2.0,1285,7,131,,418,4,1953.0,1644,3,9600,80.0,238.0,0,5,6,1416,,1953,1953,167000
1003,0.0,3.0,4.0,819,7,184,,588,1,1984.0,1003,3,7937,37.0,0.0,0,6,6,1003,,1984,1984,142500
910,648.0,4.0,2.0,420,5,490,,282,2,1950.0,1558,3,13710,75.0,0.0,0,5,5,910,289.0,1950,1950,152000
975,975.0,3.0,2.0,649,1,326,,576,3,1997.0,1950,4,7399,66.0,1600.0,10,5,7,975,,1997,1998,239000
1041,702.0,3.0,2.0,384,6,143,,539,2,1968.0,1743,3,11700,90.0,365.0,0,6,6,702,,1968,1968,175000
1152,0.0,3.0,2.0,0,2,1092,,300,2,1950.0,1152,4,14000,80.0,0.0,36,8,6,1092,,1950,2004,158500
1336,0.0,2.0,3.0,841,5,324,,375,2,1953.0,1336,3,15750,90.0,56.0,0,5,5,1165,,1953,1953,157000
1210,1242.0,4.0,2.0,281,1,747,,683,4,1998.0,2452,4,16226,66.0,0.0,50,5,8,1028,,1998,1999,267000
1541,0.0,3.0,2.0,0,2,1541,,843,3,2001.0,1541,4,13704,118.0,150.0,81,5,7,1541,,2001,2002,205000
894,0.0,3.0,2.0,894,6,0,,552,2,1975.0,894,3,9800,70.0,0.0,0,7,5,894,,1972,1972,149900
1675,1818.0,3.0,2.0,0,2,1470,,870,2,2003.0,3493,4,18386,87.0,0.0,0,9,7,1470,,1880,2002,295000
2000,0.0,3.0,2.0,1464,7,536,,888,1,2004.0,2000,4,10386,80.0,246.0,0,5,8,2000,,2004,2005,305900
1122,1121.0,4.0,2.0,700,6,0,224.0,746,3,1990.0,2243,4,13474,116.0,246.0,44,5,7,700,,1990,1991,225000
1035,371.0,3.0,2.0,0,2,319,,0,1,,1406,2,7920,,0.0,144,7,6,319,,1920,1950,89500
861,0.0,1.0,2.0,262,5,599,,539,1,1961.0,861,3,12342,,0.0,0,5,4,861,,1940,1950,82500
1944,0.0,3.0,5.0,1274,1,622,,708,4,2003.0,1944,5,12378,90.0,0.0,175,5,9,1896,,2003,2004,360000
697,804.0,3.0,2.0,518,6,179,0.0,420,4,1993.0,1501,4,7685,,112.0,63,5,6,697,,1993,1994,165600
972,0.0,2.0,2.0,680,6,292,,240,2,1948.0,972,3,8000,50.0,0.0,0,6,6,972,,1948,2002,132000
793,325.0,3.0,3.0,507,4,286,,410,2,1939.0,1118,3,7800,65.0,0.0,0,7,5,793,,1939,1950,119900
2036,0.0,3.0,5.0,1236,6,80,,513,3,1965.0,2036,3,215245,150.0,0.0,0,5,7,2136,,1965,1965,375000
832,809.0,3.0,2.0,16,3,712,234.0,546,2,1925.0,1641,5,9600,60.0,0.0,0,7,7,728,,1925,1990,178000
716,716.0,,2.0,425,1,291,,432,4,2004.0,1432,4,7795,71.0,0.0,51,5,7,716,,2004,2005,188500
1153,,4.0,2.0,692,7,153,,484,3,1983.0,2353,5,13005,94.0,278.0,195,7,7,845,,1980,1980,260000
1088,871.0,3.0,4.0,0,2,1088,,1025,3,2006.0,1959,4,9000,75.0,0.0,46,5,8,1088,,2006,2006,270000
1372,1274.0,,5.0,987,7,360,144.0,656,3,1993.0,2646,4,9900,90.0,256.0,60,5,7,1347,,1993,1993,260000
1472,0.0,3.0,4.0,1036,7,336,,588,2,1980.0,1472,3,14115,,225.0,48,5,7,1372,,1980,1980,187500
1249,1347.0,4.0,4.0,0,2,1249,,840,3,2006.0,2596,4,16259,111.0,370.0,154,5,9,1249,,2006,2006,342643
1136,1332.0,4.0,4.0,970,7,166,0.0,872,1,2004.0,2468,4,12099,99.0,388.0,154,5,8,1136,,2004,2004,354000
1553,1177.0,4.0,5.0,28,3,0,,576,1,1987.0,2730,4,10380,86.0,172.0,96,5,7,1502,,1986,1987,301000
1163,0.0,3.0,2.0,256,6,906,,220,2,1955.0,1163,3,5820,49.0,0.0,98,8,3,1162,,1955,2005,126175
1898,1080.0,5.0,2.0,0,2,710,,564,4,1961.0,2978,4,11275,96.0,300.0,0,7,7,710,,1967,2007,242000
803,0.0,2.0,4.0,116,5,604,244.0,360,2,1941.0,803,3,5000,50.0,0.0,0,6,5,720,0.0,1941,1950,87000
1719,0.0,1.0,5.0,1619,7,100,,473,4,1993.0,1719,4,10846,32.0,0.0,30,5,8,1719,,1993,1993,324000
1383,0.0,3.0,2.0,565,4,818,,292,1,1960.0,1383,3,11600,80.0,175.0,45,5,6,1383,,1960,1960,145250
1445,689.0,5.0,2.0,0,2,844,268.0,441,2,1930.0,2134,4,11888,,0.0,60,6,6,844,,1916,1994,214500
596,596.0,3.0,3.0,0,2,596,,189,2,1920.0,1192,3,6402,60.0,0.0,0,5,5,596,,1920,1950,78000
1728,,6.0,2.0,40,7,1424,,352,2,2002.0,1728,3,10624,,84.0,0,4,5,1728,,1964,1964,119000
1056,0.0,3.0,2.0,846,4,210,0.0,308,3,1958.0,1056,3,8176,70.0,0.0,0,6,5,1056,,1958,1992,139000
1629,0.0,3.0,2.0,1124,7,1603,,880,1,2003.0,1629,4,10655,85.0,296.0,0,5,8,3206,,2003,2004,284000
1358,0.0,2.0,4.0,720,7,638,,484,3,2004.0,1358,4,8198,59.0,146.0,30,5,7,1358,,2004,2004,207000
943,,3.0,5.0,828,7,115,,472,4,1998.0,1638,3,9042,59.0,0.0,38,5,6,943,,1998,1998,192000
1619,167.0,3.0,5.0,1249,1,103,,529,4,1965.0,1786,3,164660,,0.0,0,6,5,1499,,1965,1965,228950
1922,0.0,3.0,5.0,1249,7,673,,676,4,2005.0,1922,4,14157,86.0,200.0,51,5,9,1922,,2005,2006,377426
1536,0.0,3.0,4.0,810,7,726,,532,3,2002.0,1536,4,9135,70.0,113.0,74,5,7,1536,,2002,2003,214000
1621,0.0,3.0,3.0,213,6,995,,440,1,1984.0,1621,4,14145,91.0,0.0,45,7,7,1208,,1984,1998,202500
1215,0.0,3.0,2.0,585,4,630,0.0,297,2,1958.0,1215,3,12400,66.0,176.0,0,7,6,1215,0.0,1958,1998,155000
993,915.0,4.0,2.0,0,2,967,,431,4,2002.0,1908,4,14191,85.0,0.0,0,5,8,967,,2002,2002,202900
841,,2.0,2.0,0,2,721,,294,2,1950.0,841,3,8400,60.0,0.0,0,4,4,721,,1950,1950,82000
1040,0.0,2.0,1.0,0,1,0,,400,2,1949.0,1040,3,8544,,340.0,0,4,3,0,,1949,1950,87500
1684,0.0,2.0,2.0,28,7,1656,,564,3,2005.0,1684,5,8849,63.0,616.0,72,5,9,1684,,2005,2005,266000
536,576.0,3.0,2.0,129,4,175,,336,2,1976.0,1112,3,2592,36.0,0.0,0,3,5,536,,1976,1976,85000
972,605.0,3.0,2.0,0,2,972,,312,2,1939.0,1577,2,6435,65.0,0.0,0,5,6,972,,1939,1950,140200
958,0.0,2.0,3.0,498,5,460,,301,3,1960.0,958,3,12772,,0.0,0,8,6,958,,1960,1998,151500
1478,0.0,3.0,2.0,1270,5,208,,498,2,1960.0,1478,3,17600,,30.0,40,5,6,1478,,1960,1960,157500
764,862.0,2.0,2.0,573,7,191,,474,3,2003.0,1626,4,2448,36.0,106.0,27,5,7,764,,2003,2004,154000
1848,880.0,4.0,2.0,1410,7,438,,706,4,2006.0,2728,5,20431,56.0,870.0,0,5,9,1848,,2005,2006,437154
1869,0.0,2.0,2.0,0,2,1869,,617,3,2007.0,1869,5,7820,68.0,362.0,54,5,9,1869,,2007,2007,318061
1453,0.0,,5.0,1082,7,371,,445,3,1986.0,1453,4,5271,,0.0,80,5,7,1453,,1986,1986,190000
616,495.0,3.0,3.0,236,3,0,,200,2,1941.0,1111,3,9084,60.0,0.0,0,6,5,616,,1941,1950,95000
720,0.0,2.0,2.0,0,2,624,,484,2,2005.0,720,3,8520,60.0,0.0,0,8,6,624,106.0,1928,2003,105900
1192,403.0,2.0,2.0,388,3,552,,240,2,1940.0,1595,3,8400,60.0,0.0,0,5,6,940,,1940,2000,140000
1200,0.0,3.0,2.0,334,6,322,,521,3,1995.0,1200,4,11249,105.0,0.0,26,5,6,1200,,1995,1995,177500
1167,0.0,3.0,2.0,560,7,598,,400,3,1992.0,1167,4,9248,,106.0,26,6,6,1158,120.0,1992,1992,173000
1142,0.0,3.0,2.0,874,6,268,,528,4,1976.0,1142,3,4224,44.0,0.0,90,5,5,1142,,1976,1976,134000
1352,0.0,3.0,4.0,300,5,468,,288,2,1958.0,1352,4,6930,92.0,120.0,0,4,5,1062,,1958,1958,130000
1086,838.0,3.0,4.0,956,7,130,,592,3,1998.0,1924,4,12011,78.0,530.0,75,5,8,1086,208.0,1998,1998,280000
912,,2.0,4.0,773,7,115,,470,3,1978.0,912,3,7540,,0.0,0,6,6,888,,1978,1978,156000
988,517.0,3.0,2.0,399,4,484,,240,1,1940.0,1505,3,9144,,0.0,0,5,5,883,,1940,1982,145000
495,1427.0,4.0,1.0,0,1,0,,672,3,2003.0,1922,4,7301,64.0,500.0,0,5,7,0,,2003,2003,198500
483,504.0,,2.0,162,6,321,,264,2,1972.0,987,4,1680,21.0,510.0,0,8,6,483,,1972,2007,118000
790,784.0,3.0,3.0,712,7,84,,566,4,1976.0,1574,3,18800,,120.0,111,5,6,796,,1976,1976,190000
672,672.0,3.0,2.0,456,4,216,,468,2,1964.0,1344,3,10690,59.0,0.0,128,7,5,672,,1920,1997,147000
1394,0.0,3.0,2.0,609,5,785,,514,3,1963.0,1394,3,9500,,247.0,76,5,6,1394,,1963,1963,159000
1431,0.0,3.0,5.0,371,7,728,,296,3,1962.0,1431,3,9150,101.0,305.0,110,5,6,1099,,1962,1962,165000
1268,0.0,2.0,2.0,540,3,728,,244,4,1954.0,1268,3,7800,78.0,200.0,98,6,5,1268,,1954,1954,132000
1287,0.0,3.0,2.0,72,6,733,,576,4,1997.0,1287,4,9830,,0.0,17,7,5,1063,364.0,1959,2006,162000
953,711.0,3.0,2.0,0,2,953,,460,3,2000.0,1664,3,8121,,0.0,40,5,6,953,,2000,2000,172400
1120,468.0,4.0,1.0,0,1,0,,680,4,1991.0,1588,3,17120,80.0,0.0,59,4,4,0,,1959,1959,134432
752,0.0,2.0,2.0,623,6,0,,264,2,1984.0,752,3,7175,50.0,0.0,0,5,6,744,,1984,1984,125000
1319,0.0,3.0,2.0,428,5,0,,270,2,1953.0,1319,3,10634,79.0,0.0,0,6,5,608,,1953,1953,123000
847,1081.0,4.0,2.0,0,1,847,,434,4,2003.0,1928,4,8200,65.0,0.0,48,5,7,847,,2003,2004,219500
904,0.0,1.0,5.0,350,5,333,,0,1,,904,2,10020,,0.0,0,1,1,683,,1922,1950,61000
914,0.0,2.0,4.0,298,7,572,,576,2,1998.0,914,3,8846,57.0,0.0,0,5,5,870,,1996,1996,148000
1580,886.0,4.0,2.0,0,2,1580,,610,3,2004.0,2466,4,11143,102.0,0.0,214,5,8,1580,,2004,2005,340000
1856,0.0,1.0,4.0,1445,7,411,,834,4,2010.0,1856,5,11394,88.0,350.0,0,2,9,1856,,2010,2010,394432
1007,793.0,3.0,2.0,0,2,982,,463,4,2000.0,1800,3,8123,60.0,16.0,63,5,6,982,100.0,2000,2000,179000
1026,665.0,3.0,2.0,218,3,808,,308,2,1924.0,1691,4,5000,50.0,0.0,0,6,5,1026,,1924,1950,127000
1301,0.0,2.0,2.0,0,2,1293,,572,3,2006.0,1301,4,7200,60.0,0.0,121,5,7,1293,,2006,2006,187750
939,858.0,3.0,4.0,0,2,939,0.0,639,1,2006.0,1797,4,9245,79.0,0.0,53,5,7,939,144.0,2006,2006,213500
784,0.0,2.0,2.0,0,2,784,91.0,360,2,1950.0,784,3,9000,60.0,0.0,0,3,6,784,,1928,1950,76000
1079,874.0,3.0,4.0,985,7,595,0.0,501,4,1992.0,1953,4,53107,,0.0,231,5,6,1580,,1992,1992,240000
1269,0.0,2.0,2.0,24,7,1232,,430,4,2004.0,1269,4,3182,43.0,16.0,20,5,8,1256,146.0,2004,2005,192000
658,526.0,5.0,2.0,0,2,658,,0,1,,1184,3,8410,58.0,0.0,151,3,5,658,0.0,1910,1996,81000
1125,0.0,,4.0,631,6,410,,352,2,1977.0,1125,3,7200,72.0,255.0,0,6,6,1041,296.0,1976,1976,125000
1479,0.0,3.0,2.0,0,2,1468,,577,3,1999.0,1479,4,9382,93.0,125.0,25,5,7,1468,,1999,2000,191000
1742,590.0,3.0,4.0,1280,7,402,,846,4,2008.0,2332,5,12474,96.0,272.0,134,5,10,1682,,2007,2008,426000
961,406.0,4.0,2.0,241,4,229,,384,2,1978.0,1367,3,8405,50.0,0.0,130,8,5,861,,1900,1950,119000
804,1157.0,3.0,2.0,690,6,114,,560,4,2001.0,1961,4,12209,71.0,0.0,192,5,6,804,,2001,2002,215000
882,0.0,3.0,1.0,0,1,0,,294,3,1959.0,882,3,8339,,0.0,0,7,5,0,,1959,1959,106500
788,0.0,2.0,2.0,266,4,522,,0,1,,788,3,7446,,0.0,0,5,4,788,,1941,1950,100000
735,299.0,2.0,2.0,0,1,735,,240,2,1940.0,1034,3,10134,60.0,0.0,39,6,5,735,,1940,1950,109000
1144,,,4.0,739,5,405,,596,2,1956.0,1144,3,9571,68.0,0.0,0,6,5,1144,44.0,1956,1956,129000
894,0.0,2.0,4.0,777,4,117,,600,3,1985.0,894,3,7200,60.0,0.0,0,5,5,894,,1972,1972,123000
876,936.0,4.0,2.0,540,6,324,,264,3,1962.0,1812,3,7590,69.0,288.0,168,5,5,864,,1962,1962,169500
1077,0.0,2.0,2.0,0,2,961,,338,2,1920.0,1077,3,8967,60.0,0.0,0,2,5,961,,1920,1950,67000
1112,438.0,2.0,2.0,812,7,280,,438,4,2007.0,1550,4,8125,65.0,100.0,168,5,7,1092,,2006,2007,241000
1288,0.0,1.0,2.0,786,7,474,,500,4,1996.0,1288,5,14963,38.0,0.0,30,5,8,1260,,1996,1996,245500
1310,0.0,3.0,4.0,24,7,1286,,400,4,2005.0,1310,4,8767,65.0,0.0,0,5,7,1310,,2005,2005,164990
672,0.0,2.0,2.0,0,2,672,,240,2,1940.0,672,3,10200,60.0,0.0,0,8,5,672,,1940,1997,108000
1165,,4.0,2.0,0,2,1141,0.0,420,4,1998.0,2263,4,12090,93.0,650.0,123,5,8,1141,144.0,1998,1998,258000
806,766.0,3.0,2.0,0,2,806,,373,4,1995.0,1572,3,10364,,0.0,40,5,6,806,,1995,1996,168000
1620,0.0,3.0,2.0,1116,5,165,,490,2,1993.0,1620,3,9991,,0.0,78,4,4,1281,,1976,1993,150000
1166,0.0,3.0,2.0,0,2,1064,,240,2,1936.0,1639,3,10480,51.0,0.0,0,5,6,1064,,1936,1950,115000
840,840.0,,2.0,0,2,840,,308,1,1960.0,1680,3,15576,63.0,0.0,0,7,6,840,0.0,1915,1976,177000
1071,1101.0,,2.0,0,2,1063,,947,3,2006.0,2172,4,14154,109.0,350.0,62,5,7,1063,,2006,2006,280000
1050,1028.0,3.0,2.0,789,7,245,,836,4,2008.0,2078,5,10800,85.0,100.0,102,5,8,1034,,2007,2008,339750
1276,0.0,,2.0,0,2,1276,,350,2,1958.0,1276,3,9571,68.0,0.0,0,3,5,1276,,1958,1958,60000
1056,0.0,3.0,3.0,1056,4,0,,572,4,1955.0,1056,3,34650,100.0,0.0,0,5,5,1056,,1955,1955,145000
1478,0.0,2.0,4.0,578,7,892,,484,4,2009.0,1478,4,4403,,432.0,144,5,7,1470,,2009,2009,222000
1028,,2.0,2.0,0,2,1008,,360,2,1927.0,1028,3,8960,56.0,0.0,0,6,5,1008,,1927,1950,115000
1080,1017.0,3.0,2.0,50,5,499,,678,1,1993.0,2097,4,11228,59.0,0.0,187,5,7,1080,,1993,1993,228000
1340,0.0,3.0,4.0,24,7,1316,,396,4,2007.0,1340,4,8899,73.0,0.0,30,5,7,1340,,2007,2007,181134
672,728.0,,2.0,209,6,463,,440,4,1978.0,1400,3,7844,74.0,203.0,0,7,6,672,,1978,1978,149500
1370,1254.0,4.0,2.0,1128,5,242,,864,2,1918.0,2624,3,22420,86.0,0.0,0,6,6,1370,,1918,1950,239000
756,378.0,3.0,2.0,312,6,444,,240,2,1940.0,1134,3,8160,60.0,0.0,0,6,5,756,,1940,1950,126000
1056,0.0,3.0,2.0,775,5,281,,304,2,1968.0,1056,3,8450,65.0,0.0,85,6,5,1056,,1968,1968,142000
1344,0.0,,5.0,1309,7,35,,784,4,1997.0,1344,3,7060,78.0,200.0,0,5,7,1344,,1997,1998,206300
1602,0.0,3.0,2.0,1246,6,356,0.0,529,4,1977.0,1602,4,16635,,126.0,0,7,6,1602,,1977,2000,215000
